Player,Team,Pos,PPP
Tristan Luneau,ANA,D,0
Matthew Poitras,BOS,C,0
Angus Booth,LAK,D,0
Travis Mitchell,NYI,D,0
Ty Mueller,VAN,C,0
Connor Clattenburg,EDM,C,0
Harrison Brunicke,PIT,D,0
Quinn Hutson,EDM,RW,0
Tyson Gross,CGY,C,0
Dominic Toninato,CHI,C,0
Kurtis MacDermid,OTT,LW,0
Anton Blidh,NYR,LW,0
Steven Santini,TBL,D,0
Dysin Mayo,CBJ,D,0
Caleb Jones,PIT,D,0
Dennis Gilbert,OTT,D,0
Patrik Laine,MTL,LW,0
Keaton Middleton,COL,D,0
Joona Koppanen,PIT,LW,0
Alex Barre-Boulet,COL,C,0
Jonas Rondbjerg,VGK,RW,0
Cameron Crotty,OTT,D,0
Patrick Giles,SJS,RW,0
Alexander Romanov,NYI,D,0
Arthur Kaliyev,OTT,RW,1
Philip Tomasino,PIT,RW,0
Victor Soderstrom,BOS,D,0
Mitchell Chaffee,TBL,RW,0
Brendan Brisson,NYR,C,0
Maxim Groshev,TBL,D,0
Matt Kiersted,MIN,D,0
Justin Robidas,CAR,C,0
Ethan Del Mastro,CHI,D,0
Tristen Nielsen,COL,C,0
Luca Del Bel Belluz,CBJ,C,0
Isaiah George,NYI,D,0
Maveric Lamoureux,UTA,D,0
Danil Zhilkin,WPG,C,0
Adam Engstrom,MTL,D,0
Cole O'Hara,NSH,RW,0
Ludvig Jansson,FLA,D,1
Jared Davidson,MTL,C,0
Hunter McDonald,PHI,D,0
Ivan Ivan,COL,C,0
Parker Ford,WPG,C,0
David Reinbacher,MTL,D,0
Aydar Suniev,CGY,LW,0
Dmitri Simashev,UTA,D,0
Felix Unger Sorum,CAR,RW,0
Florian Xhekaj,MTL,LW,0
Michael Brandsegg-Nygård,DET,RW,0
Mikulas Hovorka,FLA,D,0
Victor Eklund,NYI,RW,0
James Hagens,BOS,C,0
Brady Martin,NSH,C,0
Luke Haymes,TOR,C,0
Dmitry Kulikov,FLA,D,0
Garrett Wilson,PHI,LW,0
Justin Dowling,NYR,C,0
Andrew Agozzino,UTA,LW,0
Derek Forbort,VAN,D,0
Dylan McIlrath,WSH,D,0
Kevin Gravel,NSH,D,0
T.J. Tynan,COL,C,0
Joseph LaBate,VAN,C,0
Erik Gustafsson,DET,D,0
Matthew Benning,TOR,D,0
Jaycob Megna,VGK,D,0
John Hayden,SEA,C,0
Mason Geertsen,BUF,LW,0
Jordan Oesterle,NSH,D,0
Andreas Englund,NSH,D,0
Bokondji Imama,PIT,LW,0
Hayden Hodgson,OTT,RW,0
Dryden Hunt,CGY,LW,0
Anthony Richard,PHI,C,0
Lane Pederson,PHI,C,0
Boris Katchouk,TBL,LW,0
Riley Stillman,EDM,D,0
Jacob Moverare,LAK,D,0
Michael Pezzetta,TOR,LW,0
Dylan Coghlan,VGK,D,0
Zack MacEwen,NJD,RW,0
Justin Danforth,BUF,RW,0
Jack Studnicka,FLA,C,0
Skyler Brind'Amour,CAR,C,0
Sheldon Dries,DET,C,0
Michael Callahan,BOS,D,0
Liam Foudy,NYI,C,0
Adam Ginning,PHI,D,0
Josiah Slavin,CAR,LW,0
Rafael Harvey-Pinard,PIT,LW,0
Brett Leason,WSH,R,0
Raphael Lavoie,VGK,C,0
Simon Lundmark,TBL,D,0
Domenick Fensore,CAR,D,0
Ryan Johnson,BUF,D,0
Henry Thrun,TOR,D,0
Ville Heinola,WPG,D,0
Samuel Poulin,PIT,RW,0
Jakob Pelletier,TBL,LW,0
Nathan Légaré,NJD,RW,0
Matej Blümel,BOS,RW,0
Hunter Skinner,STL,D,0
Jacob Gaucher,PHI,C,0
Connor Mackey,NYR,D,0
Brett Berard,NYR,LW,0
Roby Jarventie,EDM,LW,0
Bogdan Trineyev,WSH,RW,0
William Villeneuve,TOR,D,0
Ronan Seeley,CAR,D,0
Isaak Phillips,WPG,D,0
Rory Kerins,CGY,C,0
Trevor Kuntar,BUF,C,0
Nils Aman,VAN,C,0
Ryan Tverberg,TOR,C,0
Daniil Miromanov,CGY,D,0
Walker Duehr,WPG,RW,0
Dylan Duke,TBL,LW,0
Xavier Bourgault,OTT,RW,0
Tristan Broz,PIT,C,0
Tyson Hinds,ANA,D,0
Joshua Roy,MTL,RW,0
William Stromgren,CGY,LW,0
Carson Lambos,MIN,D,0
Nikita Chibrikov,WPG,RW,0
Carter Mazur,DET,LW,0
Ty Murchison,PHI,D,0
Topias Vilen,NJD,D,0
Shane Lachance,NJD,LW,0
Taylor Makar,COL,LW,0
Marc McLaughlin,NJD,C,0
Seamus Casey,NJD,D,0
Jack Devine,FLA,RW,0
Jorian Donovan,OTT,D,0
Nathan Gaucher,ANA,C,0
David Jiricek,"MIN,PHI",D,0
Aleksanteri Kaskimaki,STL,C,0
Owen Pickering,PIT,D,0
Marshall Rifai,TOR,D,0
Georgii Merkulov,BOS,C,0
Kenny Connors,LAK,C,0
Abram Wiebe,CGY,D,0
David Spacek,MIN,D,0
Xavier Parent,NJD,C,0
Luca Cagnoni,SJS,D,0
Luca Pinelli,CBJ,C,0
Brayden Yager,WPG,C,0
Jason Polin,COL,RW,0
Cole McWard,NYI,D,0
Jett Luchanko,PHI,C,0
Sam Morton,CGY,C,0
Kai Uchacz,VGK,C,0
Braeden Cootes,VAN,C,0
Viking Gustafsson Nyberg,MIN,D,0
Jake Livanavage,PIT,D,0
