Player,Team,Position,Off. Zone Starts,Off. Zone Start %,Off. Zone Faceoffs,Off. Zone Faceoff %
Lawson Crouse,UTA,L,194,54.04,351,51.92
Jakob Pelletier,T.B,L,14,66.67,21,67.74
Vasily Podkolzin,EDM,R,185,62.29,370,59.2
Olen Zellweger,ANA,D,115,52.27,334,55.57
Andrei Kuzmenko,L.A,L,82,56.94,183,56.13
Jake Guentzel,T.B,C,217,62.9,369,55.49
Adam Pelech,NYI,D,140,39.44,436,49.27
Leon Draisaitl,EDM,C,191,60.83,400,61.54
Sam Bennett,FLA,C,159,57.82,334,56.9
Danton Heinen,"CBJ, PIT",L,64,40,114,40.28
Tyler Kleven,OTT,D,138,58.97,286,53.06
Quinton Byfield,L.A,R,140,41.42,328,46.39
Seamus Casey,N.J,D,10,71.43,22,75.86
Mason McTavish,ANA,C,166,61.94,334,58.91
Quinn Hughes,"MIN, VAN",D,185,49.47,564,54.34
Marek Alscher,FLA,D,7,41.18,19,52.78
Dmitri Voronkov,CBJ,L,181,70.7,296,62.71
Gage Goncalves,T.B,C,163,66.53,251,59.06
Max Jones,EDM,L,24,48.98,42,50
Lane Hutson,MTL,D,191,62.62,479,59.28
Moritz Seider,DET,D,127,34.14,407,42.84
Cole Caufield,MTL,R,195,61.9,358,57.37
Dylan Guenther,UTA,R,173,51.8,323,51.11
Victor Eklund,NYI,R,2,50,2,28.57
Nazem Kadri,"CGY, COL",C,239,68.09,462,63.64
Jonathan Huberdeau,CGY,L,170,65.38,324,67.64
Luca Pinelli,CBJ,C,7,70,9,60
Blake Lizotte,PIT,C,14,6.67,54,15.04
Eetu Luostarinen,FLA,C,147,47.57,261,46.77
Kailer Yamamoto,UTA,R,96,51.06,156,47.13
Jeff Malott,L.A,L,46,50,98,44.75
Jacob Gaucher,PHI,C,6,66.67,10,58.82
Brayden McNabb,VGK,D,161,49.85,332,50.53
Jack Roslovic,EDM,C,168,59.15,329,58.65
Fabian Zetterlund,OTT,L,180,68.18,267,57.05
Roby Jarventie,EDM,L,6,66.67,9,69.23
Nick Suzuki,MTL,C,187,54.68,369,52.41
Sonny Milano,WSH,L,30,61.22,55,59.14
Dawson Mercer,N.J,C,167,46.39,345,47.46
Justin Holl,STL,D,11,45.83,29,50
Theo Lindstein,STL,D,31,48.44,67,47.18
Alex Killorn,ANA,L,150,47.77,289,48.65
Alexander Kerfoot,UTA,C,57,44.53,87,41.43
Mikhail Sergachev,UTA,D,202,46.87,497,50.77
Cole Perfetti,WPG,C,155,56.57,273,54.71
Bo Horvat,NYI,C,143,50.35,286,53.26
Tristen Nielsen,COL,C,3,60,6,54.55
Kirill Marchenko,CBJ,R,267,73.35,453,64.81
Ryan O'Reilly,NSH,C,155,49.05,346,46.13
Brayden Point,T.B,C,209,70.37,334,60.62
Alexis Lafrenière,NYR,L,207,60.7,378,54.86
Yanni Gourde,T.B,C,132,39.64,236,39.53
Ridly Greig,OTT,C,179,45.2,273,43.89
Tony DeAngelo,NYI,D,141,47.32,435,56.2
Beckett Sennecke,ANA,R,177,55.49,374,55.57
Ben Kindel,PIT,C,126,56,250,55.07
Lassi Thomson,OTT,D,23,62.16,36,48.65
Thomas Chabot,OTT,D,116,52.73,278,55.27
Aaron Ekblad,FLA,D,148,47.59,388,52.43
Kevin Hayes,PIT,R,43,48.86,87,50.58
Radko Gudas,ANA,D,74,47.44,199,49.5
Dmitry Kulikov,FLA,D,42,48.28,89,51.15
